status,type,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,airline_name,arrival_actual_runway,arrival_actual_time,arrival_estimated_runway,arrival_estimated_time,arrival_iata,arrival_icao_code,arrival_scheduled_time,codeshared_airline_iata_code,codeshared_airline_icao_code,codeshared_airline_name,codeshared_flight_iata_number,codeshared_flight_icao_number,codeshared_flight_number,departure_actual_runway,departure_actual_time,departure_delay,departure_estimated_runway,departure_estimated_time,departure_iata,departure_icao_code,departure_scheduled_time,flight_iata_number,flight_icao_number,flight_number
unknown,departure,,738,Unknown,DP,PBD,Pobeda,Unknown,Unknown,Unknown,Unknown,LED,ULLI,2025-11-09 21:30:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,MSQ,UMMS,2025-11-09 20:00:00+00:00,DP894,PBD894,894.0
unknown,departure,,73W,Unknown,5N,AUL,Smartavia,Unknown,Unknown,Unknown,Unknown,SCW,UUYY,2025-11-09 16:50:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 14:55:00+00:00,5N503,AUL503,503.0
unknown,departure,,32N,Unknown,5N,AUL,Smartavia,Unknown,Unknown,Unknown,Unknown,AAQ,URKA,2025-11-09 18:00:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 15:05:00+00:00,5N523,AUL523,523.0
unknown,departure,,738,Unknown,5N,AUL,Smartavia,Unknown,Unknown,Unknown,Unknown,ROV,URRP,2025-11-09 18:25:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 15:50:00+00:00,5N535,AUL535,535.0
unknown,departure,,738,Unknown,DP,PBD,Pobeda,Unknown,Unknown,Unknown,Unknown,KGD,UMKK,2025-11-09 16:50:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 16:05:00+00:00,DP589,PBD589,589.0
unknown,departure,,738,Unknown,DP,PBD,Pobeda,Unknown,Unknown,Unknown,Unknown,GSV,UWSG,2025-11-09 20:00:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 16:45:00+00:00,DP593,PBD593,593.0
unknown,departure,,321,Unknown,UJ,LMU,AlMasria,Unknown,Unknown,Unknown,Unknown,HRG,HEGN,2025-11-09 21:55:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 17:10:00+00:00,UJ715,LMU715,715.0
unknown,departure,,320,Unknown,U6,SVR,Ural Airlines,Unknown,Unknown,Unknown,Unknown,LBD,UTDL,2025-11-10 00:20:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 17:25:00+00:00,U62641,SVR2641,2641.0
unknown,departure,,738,Unknown,DP,PBD,Pobeda,Unknown,Unknown,Unknown,Unknown,ULV,UWLL,2025-11-09 21:00:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 17:45:00+00:00,DP565,PBD565,565.0
unknown,departure,,738,Unknown,DP,PBD,Pobeda,Unknown,Unknown,Unknown,Unknown,MSQ,UMMS,2025-11-09 19:20:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 17:50:00+00:00,DP893,PBD893,893.0
unknown,departure,,738,Unknown,DP,PBD,Pobeda,Unknown,Unknown,Unknown,Unknown,SVO,UUEE,2025-11-09 20:15:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 18:50:00+00:00,DP6822,PBD6822,6822.0
unknown,departure,,73W,Unknown,5N,AUL,Smartavia,Unknown,Unknown,Unknown,Unknown,MMK,ULMM,2025-11-09 22:05:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,LED,ULLI,2025-11-09 20:15:00+00:00,5N517,AUL517,517.0
unknown,departure,,72F,Unknown,7C,JJA,Jeju Air,Unknown,Unknown,Unknown,Unknown,MWZ,HTMW,2025-11-09 15:00:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 14:00:00+00:00,7C5205,JJA5205,5205.0
unknown,departure,,73Q,Unknown,8V,ACP,Astral Aviation,Unknown,Unknown,Unknown,Unknown,MWZ,HTMW,2025-11-09 15:00:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 14:00:00+00:00,8V25,ACP25,25.0
unknown,departure,,73Y,Unknown,KQ,KQA,Kenya Airways,Unknown,Unknown,Unknown,Unknown,SHJ,OMSJ,2025-11-09 19:05:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 14:25:00+00:00,KQ2348,KQA2348,2348.0
unknown,departure,,73Y,Unknown,KQ,KQA,Kenya Airways,Unknown,Unknown,Unknown,Unknown,SHJ,OMSJ,2025-11-09 19:45:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 14:55:00+00:00,KQ2344,KQA2344,2344.0
unknown,departure,,F70,Unknown,,IFY,I-Fly Air,Unknown,Unknown,Unknown,Unknown,WJR,HKWJ,2025-11-09 16:00:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 15:00:00+00:00,,IFY740,740.0
unknown,departure,,EM2,Unknown,4F,FDT,Freedom Airline Express,Unknown,Unknown,Unknown,Unknown,KMU,HCMK,2025-11-09 17:00:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 15:30:00+00:00,4F401,FDT401,401.0
unknown,departure,,DH1,Unknown,OW,SEW,Skyward Express,Unknown,Unknown,Unknown,Unknown,DAR,HTDA,2025-11-09 17:40:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 16:00:00+00:00,OW404,SEW404,404.0
unknown,departure,,F70,Unknown,,,empty,Unknown,Unknown,Unknown,Unknown,DAR,HTDA,2025-11-09 17:10:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 16:00:00+00:00,,,2342.0
unknown,departure,,73Y,Unknown,KQ,KQA,Kenya Airways,Unknown,Unknown,Unknown,Unknown,DLA,FKKD,2025-11-09 20:30:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 16:20:00+00:00,KQ2574,KQA2574,2574.0
unknown,departure,,CR9,Unknown,UR,UGD,Uganda Airlines,Unknown,Unknown,Unknown,Unknown,EBB,HUEN,2025-11-09 18:45:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 16:20:00+00:00,UR209,UGD209,209.0
unknown,departure,,73Y,Unknown,KQ,KQA,Kenya Airways,Unknown,Unknown,Unknown,Unknown,SHJ,OMSJ,2025-11-09 21:45:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 16:55:00+00:00,KQ2318,KQA2318,2318.0
unknown,departure,,73Y,Unknown,KQ,KQA,Kenya Airways,Unknown,Unknown,Unknown,Unknown,EBB,HUEN,2025-11-09 19:30:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,NBO,HKJK,2025-11-09 18:00:00+00:00,KQ2414,KQA2414,2414.0
